# x_m,y_m,w_tr_right_m,w_tr_left_m
-2.447973,0.125932,6.187,6.476
-10.16189,6.488986,6.192,6.465
-17.877125,12.850358,6.198,6.455
-25.593279,19.210548,6.203,6.444
-33.309951,25.570056,6.208,6.434
-41.026742,31.92938,6.214,6.424
-48.743252,38.289022,6.219,6.413
-56.459081,44.649479,6.224,6.403
-64.173829,51.011253,6.23,6.393
-71.887098,57.374842,6.235,6.382
-79.598514,63.740712,6.24,6.372
-87.30812,70.108817,6.246,6.362
-95.016269,76.478722,6.251,6.351
-102.723325,82.849985,6.256,6.341
-110.42965,89.222163,6.262,6.33
-118.135606,95.594811,6.267,6.32
-125.841556,101.967486,6.272,6.31
-133.547862,108.339746,6.278,6.299
-141.254887,114.711146,6.283,6.289
-148.962993,121.081243,6.288,6.279
-156.672542,127.449595,6.294,6.268
-164.383898,133.815757,6.299,6.258
-172.097422,140.179286,6.304,6.248
-179.813478,146.539739,6.31,6.237
-187.53237,152.896741,6.315,6.227
-195.253994,159.250418,6.32,6.216
-202.978064,165.601114,6.326,6.206
-210.704295,171.949174,6.331,6.196
-218.432401,178.294943,6.336,6.185
-226.162096,184.638766,6.328,6.179
-233.893094,190.980988,6.299,6.179
-241.62511,197.321954,6.27,6.179
-249.357858,203.662009,6.241,6.178
-257.091052,210.001499,6.211,6.178
-264.824406,216.340767,6.182,6.178
-272.557634,222.68016,6.153,6.178
-280.290451,229.020022,6.124,6.177
-288.022571,235.360698,6.095,6.177
-295.753682,241.702568,6.065,6.177
-303.483421,248.046085,6.036,6.177
-311.211416,254.391711,6.007,6.177
-318.937296,260.73991,5.979,6.184
-326.660689,267.091144,5.951,6.195
-334.381224,273.445876,5.923,6.207
-342.09853,279.804569,5.896,6.218
-349.812234,286.167685,5.868,6.23
-357.521967,292.535687,5.841,6.242
-365.227355,298.909038,5.813,6.253
-372.928028,305.288201,5.785,6.265
-380.623615,311.673639,5.758,6.277
-388.313744,318.065813,5.73,6.288
-395.998121,324.465093,5.703,6.3
-403.679272,330.868423,5.675,6.311
-411.36326,337.268451,5.647,6.323
-419.056372,343.65755,5.62,6.335
-426.764897,350.028095,5.592,6.346
-434.495123,356.372461,5.565,6.358
-442.253338,362.683022,5.537,6.37
-450.036704,368.961893,5.509,6.381
-457.713227,375.349068,5.482,6.393
-465.055136,382.086781,5.454,6.405
-471.829712,389.420173,6.409,6.569
-477.339111,397.679507,7.284,7.021
-479.907693,407.327013,7.502,8.172
-478.181363,417.113767,7.935,8.146
-471.702783,424.065828,7.777,7.873
-462.377407,428.002842,6.951,7.268
-452.557456,429.934061,6.475,5.9
-442.665714,430.736615,5.877,6.401
-432.699884,431.019809,5.88,6.306
-422.691902,430.907127,5.951,5.976
-412.677899,430.462509,6.007,5.687
-402.690808,429.743284,5.978,5.529
-392.742188,428.762567,5.647,5.724
-382.834827,427.515328,5.395,5.939
-372.971487,425.996487,5.268,5.937
-363.154929,424.200961,5.622,5.62
-353.387915,422.123667,5.728,5.509
-343.673207,419.759524,5.458,5.687
-334.022115,417.092547,5.554,5.619
-324.476942,414.067225,5.755,5.534
-315.08701,410.619094,5.938,5.368
-305.89983,406.688321,5.564,5.84
-296.939079,402.275914,5.632,5.841
-288.211651,397.425734,5.181,6.228
-279.723988,392.182566,5.478,5.885
-271.468618,386.595086,5.668,5.707
-263.40991,380.719842,5.793,5.674
-255.508837,374.61433,5.855,5.736
-247.72637,368.336049,5.747,5.66
-240.023481,361.942494,5.639,5.583
-232.361143,355.491164,5.532,5.506
-224.700912,349.038693,5.461,5.457
-217.022878,342.614446,5.434,5.439
-209.329002,336.215594,5.407,5.422
-201.622507,329.837456,5.38,5.405
-193.906616,323.475349,5.353,5.388
-186.184548,317.124593,5.327,5.37
-178.459528,310.780505,5.3,5.353
-170.734777,304.438403,5.273,5.336
-163.013517,298.093607,5.246,5.319
-155.298969,291.741433,5.219,5.301
-147.594357,285.3772,5.193,5.284
-139.902902,278.996227,5.166,5.267
-132.227826,272.593831,5.139,5.25
-124.572351,266.165331,5.112,5.232
-116.935008,259.711446,5.086,5.215
-109.253955,253.302387,5.059,5.198
-101.425438,247.056616,5.225,5.08
-93.344134,241.096585,5.615,4.926
-84.807867,235.949797,5.017,5.481
-75.441119,232.926849,5.392,4.929
-65.466214,232.635181,5.332,4.983
-55.729014,234.712875,5.049,5.509
-46.465145,238.509059,5.19,5.086
-37.895069,243.600025,5.213,5.253
-31.060135,250.649617,5.478,5.246
-26.299344,259.521128,5.186,5.255
-22.980929,268.961754,5.195,5.13
-20.979471,278.646792,5.325,5.137
-20.582456,288.710457,5.147,5.207
-22.195392,298.575007,5.14,5.097
-25.738474,307.8526,5.252,4.642
-30.16413,316.818412,5.224,4.696
-34.801961,325.682679,5.197,4.749
-39.534562,334.496199,5.169,4.803
-44.274199,343.301219,5.142,4.856
-48.957805,352.129502,5.114,4.91
-53.606297,360.977116,5.087,4.963
-58.258446,369.832543,5.059,5.017
-62.944947,378.685147,5.031,5.07
-67.598343,387.535019,5.004,5.124
-72.032044,396.438694,5.077,4.762
-75.72243,405.755983,4.987,5.377
-77.798881,415.594165,5.807,5.896
-77.025624,425.36548,6.524,6.479
-73.65527,434.769638,5.989,6.444
-69.451573,443.911266,5.365,5.653
-65.001228,452.879721,5.328,5.6
-60.410196,461.750344,5.29,5.546
-55.781744,470.597177,5.253,5.493
-51.169368,479.45844,5.216,5.44
-46.571248,488.332547,5.179,5.386
-41.982675,497.215833,5.141,5.333
-37.39894,506.104635,5.104,5.28
-32.815335,514.995289,5.067,5.226
-28.22715,523.884129,5.029,5.173
-23.629945,532.767694,4.992,5.12
-19.022467,541.64494,4.955,5.066
-14.405547,550.516403,4.977,5.066
-9.780055,559.382647,5.001,5.068
-5.146862,568.244238,5.024,5.069
-0.506836,577.101738,5.048,5.07
4.139152,585.955714,5.072,5.072
8.790234,594.806729,5.095,5.073
13.445539,603.655348,5.119,5.074
18.104199,612.502135,5.143,5.076
22.765344,621.347655,5.166,5.077
27.428103,630.192472,5.19,5.078
32.091608,639.037151,5.214,5.08
36.754989,647.882256,5.237,5.081
41.417032,656.728518,5.261,5.082
46.074428,665.577677,5.285,5.084
50.72309,674.431848,5.308,5.085
55.358927,683.293148,5.332,5.086
59.977848,692.163694,5.356,5.087
64.575763,701.045603,5.379,5.089
69.148587,709.94099,5.403,5.09
73.715266,718.838748,5.26,5.184
78.370691,727.684191,5.102,5.293
83.22538,736.41366,4.949,5.408
88.380759,744.96847,5.142,5.208
93.832073,753.347983,5.254,5.168
