# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.029054,-0.000499,7.621,7.679
0.17343,-9.993441,7.621,7.679
0.37652,-19.986389,7.621,7.679
0.580106,-29.979341,7.622,7.678
0.784076,-39.972293,7.622,7.678
0.98832,-49.965241,7.622,7.678
1.192727,-59.95818,7.622,7.678
1.397186,-69.951108,7.622,7.678
1.601587,-79.94402,7.622,7.678
1.805818,-89.936913,7.623,7.677
2.009768,-99.929782,7.623,7.677
2.213326,-109.922624,7.623,7.677
2.416383,-119.915436,7.623,7.677
2.618826,-129.908212,7.623,7.677
2.820545,-139.90095,7.624,7.676
3.02143,-149.893646,7.624,7.676
3.221368,-159.886296,7.624,7.676
3.42025,-169.878896,7.624,7.676
3.617964,-179.871442,7.624,7.676
3.8144,-189.86393,7.625,7.675
4.009447,-199.856357,7.625,7.675
4.202993,-209.848719,7.625,7.675
4.394929,-219.841012,7.65,7.65
4.585142,-229.833232,7.676,7.624
4.773523,-239.825375,7.701,7.599
4.95996,-249.817438,7.727,7.573
5.147529,-259.80928,7.753,7.547
5.363383,-269.799727,7.754,7.546
5.645677,-279.787133,7.725,7.575
6.032619,-289.76985,7.63,7.67
6.562421,-299.746228,7.661,7.639
7.273292,-309.71462,7.729,7.571
8.203375,-319.673189,7.797,7.503
9.388056,-329.612385,7.817,7.483
10.859064,-339.512413,7.833,7.467
12.64787,-349.352769,7.841,7.459
14.785949,-359.11295,7.846,7.454
17.304773,-368.77245,7.85,7.45
20.235784,-378.310756,7.821,7.479
23.602731,-387.704971,7.776,7.524
27.411727,-396.926731,7.913,7.387
31.666419,-405.946909,8.094,7.206
36.36119,-414.744014,7.809,7.491
41.452206,-423.32803,7.548,7.752
46.885785,-431.717059,7.673,7.627
52.612235,-439.92615,7.799,7.501
58.612402,-447.947,7.866,7.434
64.881252,-455.76051,7.921,7.379
71.413827,-463.347524,7.982,7.318
78.205168,-470.688885,8.045,7.255
85.250317,-477.765437,8.107,7.193
92.544221,-484.558721,8.17,7.13
100.080368,-491.061248,8.159,7.141
107.851083,-497.274255,8.118,7.182
115.848659,-503.199214,8.077,7.223
124.06539,-508.837604,8.038,7.262
132.493568,-514.190898,8.018,7.282
141.12548,-519.260528,7.998,7.302
149.951671,-524.036466,7.731,7.569
