# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.320123,1.087714,5.739,5.932
0.656139,11.036647,5.731,5.926
1.630535,20.985493,5.723,5.92
2.603399,30.934243,5.715,5.914
3.575067,40.882887,5.707,5.908
4.545874,50.831416,5.7,5.902
5.516153,60.779822,5.692,5.896
6.486241,70.728094,5.684,5.89
7.456472,80.676224,5.676,5.884
8.427182,90.624202,5.668,5.878
9.398704,100.57202,5.66,5.872
10.371375,110.519667,5.652,5.866
11.345529,120.467135,5.644,5.86
12.3215,130.414414,5.636,5.855
13.299624,140.361496,5.628,5.849
14.280236,150.308371,5.62,5.843
15.263671,160.255029,5.612,5.837
16.250263,170.201463,5.604,5.831
17.240348,180.147661,5.597,5.825
18.234175,190.093621,5.589,5.819
19.231352,200.039376,5.581,5.813
20.231195,209.984979,5.573,5.807
21.23302,219.930483,5.565,5.801
22.236141,229.875939,5.557,5.795
23.239874,239.821399,5.549,5.789
24.243534,249.766917,5.541,5.783
25.246434,259.712543,5.533,5.777
26.247892,269.658331,5.525,5.771
27.24722,279.604332,5.517,5.765
28.243735,289.550599,5.509,5.759
29.236751,299.497184,5.501,5.753
30.225584,309.444139,5.495,5.746
31.209548,319.391516,5.534,5.706
32.187959,329.339368,5.572,5.666
33.160131,339.287747,5.611,5.626
34.125379,349.236705,5.65,5.586
35.083018,359.186294,5.689,5.545
36.032446,369.136561,5.728,5.505
36.973682,379.087504,5.745,5.468
37.907038,389.039102,5.712,5.44
38.832821,398.991333,5.679,5.411
39.751344,408.944174,5.646,5.382
40.662916,418.897603,5.613,5.353
41.567847,428.851599,5.58,5.324
42.466449,438.806138,5.547,5.295
43.359032,448.761199,5.514,5.266
44.245905,458.716759,5.482,5.237
45.127379,468.672797,5.449,5.208
46.003766,478.62929,5.416,5.179
46.875374,488.586216,5.383,5.15
47.742515,498.543553,5.317,5.13
48.605499,508.501278,5.233,5.114
49.464636,518.45937,5.148,5.098
50.320236,528.417806,5.064,5.082
51.172611,538.376564,4.979,5.067
52.02207,548.335622,4.91,5.058
52.868924,558.294958,4.883,5.067
53.713483,568.254549,4.868,5.043
54.556058,578.214373,4.853,5.018
55.396959,588.174409,4.838,4.993
56.236496,598.134634,4.823,4.969
57.07498,608.095026,4.808,4.944
57.912721,618.055562,4.792,4.919
58.75003,628.016221,4.777,4.895
59.587216,637.97698,4.762,4.87
60.424591,647.937817,4.747,4.846
61.262465,657.898711,4.732,4.821
62.101148,667.859638,4.717,4.796
62.94095,677.820576,4.702,4.772
63.782182,687.781504,4.686,4.747
64.625155,697.742399,4.671,4.722
65.470178,707.70324,4.656,4.698
66.317563,717.664003,4.641,4.673
67.167592,727.624665,4.626,4.648
68.020133,737.585185,4.611,4.624
68.87471,747.545505,4.596,4.599
69.730839,757.505565,4.58,4.574
70.588036,767.465309,4.565,4.55
71.445816,777.424677,4.55,4.525
72.303695,787.383612,4.535,4.501
73.161188,797.342055,4.52,4.476
74.017812,807.299949,4.505,4.451
74.873081,817.257234,4.49,4.427
75.726512,827.213854,4.474,4.402
76.577619,837.169749,4.459,4.377
77.42592,847.124861,4.444,4.353
78.270929,857.079133,4.429,4.328
79.112161,867.032506,4.414,4.303
79.949134,876.984921,4.399,4.279
80.781362,886.936322,4.384,4.254
81.60836,896.886648,4.368,4.23
82.429611,906.841165,4.353,4.205
83.248443,917.040323,4.338,4.18
85.673515,926.451744,4.026,4.819
93.551119,930.674272,4.131,4.098
103.764977,929.484079,4.58,4.102
113.599154,928.591245,4.495,3.935
122.73869,932.890866,4.458,4.457
127.802866,941.198722,4.755,4.338
127.68945,950.666788,4.735,3.994
125.44179,960.499164,4.283,4.296
122.93212,970.272167,4.288,4.437
120.32335,979.977006,4.271,4.443
117.66048,989.633514,4.255,4.448
114.988509,999.261521,4.239,4.453
112.352435,1008.88086,4.223,4.459
109.797259,1018.511361,4.206,4.464
107.367978,1028.172857,4.19,4.469
105.109591,1037.885179,4.193,4.485
103.067064,1047.667779,4.2,4.503
101.283945,1057.524431,4.256,4.446
99.801893,1067.437965,4.343,4.342
98.662434,1077.389757,4.327,4.419
97.907094,1087.36118,4.291,4.529
97.567796,1097.335226,4.248,4.634
97.602796,1107.30729,4.204,4.738
97.936252,1117.278504,4.179,4.779
98.49214,1127.250034,4.177,4.754
99.194475,1137.223041,4.174,4.729
99.978026,1147.197772,4.171,4.704
100.802406,1157.172355,4.168,4.679
101.630728,1167.144618,4.166,4.653
102.426108,1177.112392,4.163,4.628
103.154372,1187.073728,4.16,4.603
103.824277,1197.030171,4.157,4.578
104.478846,1206.986058,4.154,4.553
105.162058,1216.945802,4.152,4.527
105.917889,1226.913794,4.149,4.502
106.789863,1236.888364,4.146,4.477
107.820445,1246.85374,4.152,4.518
109.051951,1256.792148,4.169,4.692
110.526698,1266.685812,4.13,4.611
112.287,1276.516959,4.091,4.53
114.375175,1286.267813,4.131,4.446
116.833538,1295.920602,4.269,4.358
119.704404,1305.457549,4.271,4.476
123.029936,1314.860917,4.25,4.629
126.810907,1324.122838,4.243,4.601
130.95119,1333.25855,4.24,4.515
135.340807,1342.286594,4.237,4.428
139.869779,1351.225511,4.254,4.505
144.440598,1360.090188,4.272,4.584
