# x_m,y_m,w_tr_right_m,w_tr_left_m
0.960975,4.022273,7.565,7.361
8.909306,-2.050381,7.603,7.403
16.857499,-8.123162,7.641,7.444
24.805915,-14.19567,7.678,7.486
32.754662,-20.26779,7.716,7.528
40.703715,-26.33955,7.754,7.569
48.653048,-32.410982,7.792,7.611
56.602635,-38.482119,7.829,7.653
64.55245,-44.552993,7.867,7.694
72.502466,-50.623634,7.905,7.736
80.452658,-56.694076,7.942,7.778
88.402999,-62.764349,7.98,7.819
96.353463,-68.834486,8.018,7.861
104.304024,-74.904519,8.056,7.903
112.254657,-80.974479,8.093,7.944
120.205334,-87.044397,8.131,7.986
128.156029,-93.114307,8.169,8.028
136.106717,-99.18424,8.207,8.069
144.057372,-105.254227,8.244,8.111
152.007966,-111.3243,8.282,8.153
159.958476,-117.394491,8.32,8.194
167.908892,-123.464808,8.358,8.236
175.859222,-129.535241,8.395,8.278
183.809473,-135.60578,8.433,8.319
191.759651,-141.676414,8.471,8.361
199.709764,-147.747133,8.509,8.403
207.659819,-153.817926,8.546,8.444
215.609823,-159.888784,8.584,8.486
223.559784,-165.959694,8.622,8.528
231.509709,-172.030647,8.66,8.569
239.459605,-178.101633,8.697,8.611
247.409478,-184.17264,8.735,8.652
255.359337,-190.243659,8.773,8.694
263.309188,-196.314679,8.811,8.736
271.259039,-202.385688,8.848,8.777
279.208897,-208.456678,8.886,8.819
287.158769,-214.527636,8.924,8.861
295.108662,-220.598554,8.962,8.902
303.058583,-226.669419,8.999,8.944
311.00854,-232.740223,9.037,8.986
318.958539,-238.810953,9.075,9.027
326.908589,-244.8816,9.112,9.069
334.858696,-250.952154,9.15,9.111
342.808866,-257.022603,9.188,9.152
350.759109,-263.092937,9.226,9.194
358.70943,-269.163146,9.263,9.236
366.659837,-275.23322,9.301,9.277
374.610337,-281.303146,9.339,9.319
382.560937,-287.372916,9.377,9.361
390.511645,-293.442519,9.414,9.402
398.462467,-299.511944,9.452,9.444
406.413411,-305.58118,9.49,9.486
414.364484,-311.650217,9.528,9.527
422.315693,-317.719045,9.565,9.569
430.267043,-323.787658,9.603,9.611
438.217718,-329.857455,9.641,9.652
446.164875,-335.933319,9.679,9.694
